GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
1,2018-10-03,7:00 PM,,Montreal Canadiens,3,2,W,OT,1,0,0,W 1,19589,2:37,
2,2018-10-06,7:00 PM,,Ottawa Senators,3,5,L,,1,1,0,L 1,19321,2:35,
3,2018-10-07,7:00 PM,@,Chicago Blackhawks,7,6,W,OT,2,1,0,W 1,21812,2:31,
4,2018-10-09,8:30 PM,@,Dallas Stars,7,4,W,,3,1,0,W 2,17866,2:30,
5,2018-10-11,7:30 PM,@,Detroit Red Wings,5,3,W,,4,1,0,W 3,19515,2:32,
6,2018-10-13,7:00 PM,@,Washington Capitals,4,2,W,,5,1,0,W 4,18506,2:21,
7,2018-10-15,7:30 PM,,Los Angeles Kings,4,1,W,,6,1,0,W 5,19429,2:25,
8,2018-10-18,7:00 PM,,Pittsburgh Penguins,0,3,L,,6,2,0,L 1,19483,2:28,
9,2018-10-20,7:00 PM,,St. Louis Blues,1,4,L,,6,3,0,L 2,19268,2:31,
10,2018-10-24,7:00 PM,@,Winnipeg Jets,4,2,W,,7,3,0,W 1,15321,2:29,
11,2018-10-27,7:00 PM,,Winnipeg Jets,3,2,W,,8,3,0,W 2,19545,2:31,
12,2018-10-29,7:00 PM,,Calgary Flames,1,3,L,,8,4,0,L 1,18989,2:31,
13,2018-11-01,7:00 PM,,Dallas Stars,1,2,L,,8,5,0,L 2,18878,2:27,
14,2018-11-03,7:00 PM,@,Pittsburgh Penguins,5,0,W,,9,5,0,W 1,18638,2:38,
15,2018-11-06,7:00 PM,,Vegas Golden Knights,3,1,W,,10,5,0,W 2,19045,2:34,
16,2018-11-09,7:00 PM,,New Jersey Devils,6,1,W,,11,5,0,W 3,19211,2:32,
17,2018-11-10,7:00 PM,@,Boston Bruins,1,5,L,,11,6,0,L 1,17565,2:34,
18,2018-11-13,10:30 PM,@,Los Angeles Kings,5,1,W,,12,6,0,W 1,17859,2:21,
19,2018-11-15,10:30 PM,@,San Jose Sharks,5,3,W,,13,6,0,W 2,17011,2:27,
20,2018-11-16,10:00 PM,@,Anaheim Ducks,2,1,W,OT,14,6,0,W 3,16666,2:34,
21,2018-11-19,7:00 PM,,Columbus Blue Jackets,4,2,W,,15,6,0,W 4,19134,2:32,
22,2018-11-21,7:00 PM,@,Carolina Hurricanes,2,5,L,,15,7,0,L 1,12562,2:31,
23,2018-11-23,7:00 PM,@,Columbus Blue Jackets,2,4,L,,15,8,0,L 2,18656,2:21,
24,2018-11-24,7:00 PM,,Philadelphia Flyers,6,0,W,,16,8,0,W 1,19373,2:25,
25,2018-11-26,7:00 PM,,Boston Bruins,4,2,W,,17,8,0,W 2,19286,2:27,
26,2018-11-28,7:30 PM,,San Jose Sharks,5,3,W,,18,8,0,W 3,19362,2:36,
27,2018-12-01,7:00 PM,@,Minnesota Wild,5,3,W,,19,8,0,W 4,19107,2:31,
28,2018-12-04,7:30 PM,@,Buffalo Sabres,4,3,W,OT,20,8,0,W 5,19070,2:38,
29,2018-12-06,7:00 PM,,Detroit Red Wings,4,5,L,OT,20,8,1,L 1,19392,2:37,
30,2018-12-08,7:00 PM,@,Boston Bruins,3,6,L,,20,9,1,L 2,17565,2:39,
31,2018-12-11,7:00 PM,@,Carolina Hurricanes,4,1,W,,21,9,1,W 1,11907,2:21,
32,2018-12-13,7:30 PM,@,Tampa Bay Lightning,1,4,L,,21,10,1,L 1,19092,2:39,
33,2018-12-15,7:00 PM,@,Florida Panthers,3,4,L,OT,21,10,2,L 2,14177,2:48,
34,2018-12-18,7:00 PM,@,New Jersey Devils,7,2,W,,22,10,2,W 1,14586,2:30,
35,2018-12-20,7:00 PM,,Florida Panthers,6,1,W,,23,10,2,W 2,19329,2:31,
36,2018-12-22,7:00 PM,,New York Rangers,5,3,W,,24,10,2,W 3,19466,2:21,
37,2018-12-23,7:30 PM,,Detroit Red Wings,5,4,W,OT,25,10,2,W 4,19196,2:31,
38,2018-12-28,7:00 PM,@,Columbus Blue Jackets,4,2,W,,26,10,2,W 5,18963,2:24,
39,2018-12-29,7:00 PM,,New York Islanders,0,4,L,,26,11,2,L 1,19514,2:29,
40,2019-01-03,2:00 PM,,Minnesota Wild,3,4,L,,26,12,2,L 2,19244,2:35,
41,2019-01-05,7:00 PM,,Vancouver Canucks,5,0,W,,27,12,2,W 1,19388,2:23,
42,2019-01-07,7:00 PM,,Nashville Predators,0,4,L,,27,13,2,L 1,19059,2:22,
43,2019-01-10,7:00 PM,@,New Jersey Devils,4,2,W,,28,13,2,W 1,15280,2:34,
44,2019-01-12,7:00 PM,,Boston Bruins,2,3,L,,28,14,2,L 1,19305,2:24,
45,2019-01-14,7:00 PM,,Colorado Avalanche,3,6,L,,28,15,2,L 2,19248,2:26,
46,2019-01-17,7:30 PM,@,Tampa Bay Lightning,4,2,W,,29,15,2,W 1,19092,2:34,
47,2019-01-18,7:00 PM,@,Florida Panthers,1,3,L,,29,16,2,L 1,16741,2:23,
48,2019-01-20,7:00 PM,,Arizona Coyotes,2,4,L,,29,17,2,L 2,19165,2:23,
49,2019-01-23,7:30 PM,,Washington Capitals,6,3,W,,30,17,2,W 1,19148,2:28,
50,2019-02-01,7:30 PM,@,Detroit Red Wings,2,3,L,OT,30,17,3,L 1,19515,2:25,
51,2019-02-02,7:00 PM,,Pittsburgh Penguins,3,2,W,,31,17,3,W 1,19477,2:30,
52,2019-02-04,7:00 PM,,Anaheim Ducks,6,1,W,,32,17,3,W 2,18858,2:33,
53,2019-02-06,7:30 PM,,Ottawa Senators,5,4,W,,33,17,3,W 3,19264,2:24,
54,2019-02-09,7:00 PM,@,Montreal Canadiens,4,3,W,OT,34,17,3,W 4,21302,2:31,
55,2019-02-10,7:00 PM,@,New York Rangers,1,4,L,,34,18,3,L 1,17445,2:25,
56,2019-02-12,9:00 PM,@,Colorado Avalanche,5,2,W,,35,18,3,W 1,16426,2:25,
57,2019-02-14,10:00 PM,@,Vegas Golden Knights,6,3,W,,36,18,3,W 2,18214,2:32,
58,2019-02-16,7:00 PM,@,Arizona Coyotes,0,2,L,,36,19,3,L 1,17125,2:23,
59,2019-02-19,8:00 PM,@,St. Louis Blues,2,3,L,OT,36,19,4,L 2,18598,2:37,
60,2019-02-21,7:00 PM,,Washington Capitals,2,3,L,,36,20,4,L 3,19378,2:25,
61,2019-02-23,7:00 PM,,Montreal Canadiens,6,3,W,,37,20,4,W 1,19506,2:39,
62,2019-02-25,7:00 PM,,Buffalo Sabres,5,3,W,,38,20,4,W 2,19026,2:29,
63,2019-02-27,7:00 PM,,Edmonton Oilers,6,2,W,,39,20,4,W 3,19356,2:28,
64,2019-02-28,7:00 PM,@,New York Islanders,1,6,L,,39,21,4,L 1,13917,2:40,
65,2019-03-02,7:00 PM,,Buffalo Sabres,5,2,W,,40,21,4,W 1,19088,2:27,